0: 1,5,6
1: 2,0,6,7
2: 1,3,8,7
3: 4,2,8,9
4: 3,10,9
5: 11,12,6,0
6: 12,5,0,1,13,7
7: 13,14,8,1,2,6
8: 14,7,2,3,15,9
9: 15,16,3,4,10,8
10: 4,16,9,17
11: 12,18,5
12: 11,18,19,5,6,13
13: 14,20,7,12,19,6
14: 13,20,21,8,7,15
15: 16,22,9,14,21,8
16: 15,22,9,10,17,23
17: 23,34,10,16
18: 11,12,19,24,25
19: 12,18,13,20,25,26
20: 13,14,21,19,26,27
21: 14,20,15,22,27,28
22: 15,16,21,23,28,29
23: 17,16,22,29
24: 25,18
25: 24,30,18,19,26
26: 27,31,19,20,25,30
27: 26,31,32,20,21,28
28: 29,33,21,22,27,32
29: 28,33,22,23
30: 25,26,31
31: 26,27,32,30
32: 27,31,28,33
33: 28,29,32
34: 17
